City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,matara,5.9485,80.5353,26.15,85,68,1.39,LK,1680103683
280,salekhard,66.53,66.6019,-15.35,80,13,6.1,RU,1680103789
281,kununurra,-15.7667,128.7333,23.99,88,52,0.0,AU,1680103772
282,buala,-8.145,159.5921,26.79,82,100,2.19,SB,1680103505
283,baracoa,20.3467,-74.4958,28.0,58,0,2.47,CU,1680103790
284,ampanihy,-24.7,44.75,24.5,58,0,4.68,MG,1680103790
285,monchegorsk,67.9397,32.8739,-4.12,93,100,3.28,RU,1680103790
286,severo-kurilsk,50.6789,156.125,-2.34,58,0,2.91,RU,1680103639
287,kruisfontein,-34.0033,24.7314,18.27,61,97,8.5,ZA,1680103670
288,thompson,55.7435,-97.8558,-15.91,72,20,1.54,CA,1680103791
289,richards bay,-28.783,32.0377,22.09,82,98,6.4,ZA,1680103791
290,san patricio,28.017,-97.5169,17.97,50,99,4.98,US,1680103791
291,coquimbo,-29.9533,-71.3436,18.85,77,40,1.03,CL,1680103349
292,coruripe,-10.1256,-36.1756,28.72,67,61,6.14,BR,1680103792
293,geraldton,-28.7667,114.6,23.23,78,40,8.75,AU,1680103641
294,huanan,46.2167,130.5167,10.13,37,92,4.41,CN,1680103792
295,chor,25.5167,69.7667,31.21,33,60,7.27,PK,1680103793
296,chimbote,-9.0853,-78.5783,27.04,69,86,2.71,PE,1680103510
297,pontianak,-0.0333,109.3333,23.99,100,100,1.54,ID,1680103793
298,sakakah,29.9697,40.2064,28.76,12,0,3.54,SA,1680103793
299,puerto ayacucho,5.6639,-67.6236,33.13,40,88,1.13,VE,1680103794
300,nantucket,41.2835,-70.0995,7.08,59,0,5.66,US,1680103794
301,pakxan,18.3778,103.6601,28.29,64,24,1.27,LA,1680103794
302,gornopravdinsk,60.05,69.9,-8.05,88,8,2.59,RU,1680103794
303,turbat,26.0023,63.044,26.72,36,11,6.28,PK,1680103795
304,evensk,61.95,159.2333,-18.47,93,85,3.1,RU,1680103795
305,palmer,42.1584,-72.3287,9.73,39,20,3.6,US,1680103795
306,palu,-0.8917,119.8707,24.41,96,89,0.63,ID,1680103795
307,inhambane,-23.865,35.3833,26.99,57,0,5.61,MZ,1680103796
308,el reno,35.5323,-97.955,11.78,52,0,9.77,US,1680103796
309,soe,-9.8607,124.284,18.68,94,96,1.75,ID,1680103796
310,palaia fokaia,37.72,23.9463,15.99,25,70,5.32,GR,1680103796
311,kuchera,26.9839,73.9719,28.67,24,67,5.27,IN,1680103796
312,lata,40.1629,-8.3327,24.95,40,98,5.67,PT,1680103796
313,nadym,65.5333,72.5167,-13.28,92,99,5.5,RU,1680103797
314,campobasso,41.6333,14.5833,14.97,68,100,5.62,IT,1680103699
315,leninskoye,41.7589,69.3864,14.54,68,77,3.42,KZ,1680103797
316,vaitape,-16.5167,-151.75,27.8,75,80,4.91,PF,1680103748
317,vila praia de ancora,41.811,-8.8526,18.95,74,79,7.95,PT,1680103797
318,nagaur,27.2,73.7333,26.36,35,62,8.52,IN,1680103797
319,genhe,50.7833,121.5167,-8.51,94,14,1.35,CN,1680103798
320,tawau,4.2498,117.8871,25.07,87,100,2.46,MY,1680103798
321,lere,10.387,8.5726,36.21,6,96,3.67,NG,1680103798
